,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,PriceRange,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
259,259,Mata Hari,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",260,4,$$ - $$$,373,"[['Lovely meal', 'Great dining in this buzzing place'], ['12/04/2017', '10/30/2017']]",/Restaurant_Review-g188590-d2723687-Reviews-Mata_Hari-Amsterdam_North_Holland_Province.html,d2723687,52.37463,4.90019
260,260,Restaurant 't Zwaantje,Amsterdam,"['French', 'Dutch', 'European', 'Central European', 'Vegetarian Friendly']",261,4,$$ - $$$,471,"[['Really Dutch', 'A great find'], ['11/10/2017', '11/09/2017']]",/Restaurant_Review-g188590-d1423473-Reviews-Restaurant_t_Zwaantje-Amsterdam_North_Holland_Province.html,d1423473,52.37038,4.8838
261,261,Sefa Grill Restaurant,Amsterdam,"['Fast Food', 'European', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Halal', 'Vegan Options']",262,4.5,$,78,"[['Ecellent kebab', 'Best Turkish in Amsterdam!'], ['01/03/2018', '01/03/2018']]",/Restaurant_Review-g188590-d8440816-Reviews-Sefa_Grill_Restaurant-Amsterdam_North_Holland_Province.html,d8440816,52.37399,4.88375
262,262,Ali Ocakbasi,Amsterdam,"['Mediterranean', 'Barbecue', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",263,4.5,$$ - $$$,255,"[['Stumbled across a Gem', 'Solid'], ['12/29/2017', '11/24/2017']]",/Restaurant_Review-g188590-d7710013-Reviews-Ali_Ocakbasi-Amsterdam_North_Holland_Province.html,d7710013,52.36494,4.89773
263,263,Hannekes Boom,Amsterdam,"['Dutch', 'Bar', 'European', 'Pub', 'Vegetarian Friendly']",264,4,$$ - $$$,349,"[['Interesting.', 'The perfect place in summer'], ['12/31/2017', '09/23/2017']]",/Restaurant_Review-g188590-d4844212-Reviews-Hannekes_Boom-Amsterdam_North_Holland_Province.html,d4844212,52.37661,4.91213
264,264,Ron Gastrobar,Amsterdam,"['French', 'Dutch', 'European', 'Delicatessen', 'Vegetarian Friendly', 'Gluten Free Options']",265,4,$$$$,796,"[['Interesting', 'Excellent food'], ['12/30/2017', '12/18/2017']]",/Restaurant_Review-g188590-d1887528-Reviews-Ron_Gastrobar-Amsterdam_North_Holland_Province.html,d1887528,52.35236,4.85663
265,265,Cafe de Jaren,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options']",266,4,$$ - $$$,1079,"[['Good place to chill', 'Lovely bright cafe'], ['12/31/2017', '12/25/2017']]",/Restaurant_Review-g188590-d697070-Reviews-Cafe_de_Jaren-Amsterdam_North_Holland_Province.html,d697070,52.36812,4.89528
266,266,Hard Rock Cafe Amsterdam,Amsterdam,"['Barbecue', 'American', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",267,4,$$ - $$$,6777,"[['Love ! Food and cocktails amazing!', 'As always- great'], ['01/09/2018', '01/08/2018']]",/Restaurant_Review-g188590-d1010937-Reviews-Hard_Rock_Cafe_Amsterdam-Amsterdam_North_Holland_Province.html,d1010937,52.36223,4.88299
267,267,Dabka,Amsterdam,"['Lebanese', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",268,4,$$ - $$$,306,"[['Wonderful!', 'Best meal we had in Amsterdam'], ['12/08/2017', '11/11/2017']]",/Restaurant_Review-g188590-d3387286-Reviews-Dabka-Amsterdam_North_Holland_Province.html,d3387286,52.37591,4.90085
268,268,Restaurant Envy,Amsterdam,"['European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",269,4,$$$$,951,"[['Just about', 'Eye for detail'], ['12/22/2017', '11/20/2017']]",/Restaurant_Review-g188590-d793234-Reviews-Restaurant_Envy-Amsterdam_North_Holland_Province.html,d793234,52.35296,4.89186
269,269,Hotel de Goudfazant,Amsterdam,"['French', 'Dutch', 'European', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options']",270,4.5,$$ - $$$,389,"[['Quirky cool restaurant, on the other side...', 'Great food and wine in an industrial atmos...'], ['12/19/2017', '12/02/2017']]",/Restaurant_Review-g188590-d1423083-Reviews-Hotel_de_Goudfazant-Amsterdam_North_Holland_Province.html,d1423083,52.38434,4.92778
270,270,Amigo Argentijns Restaurant,Amsterdam,"['Steakhouse', 'Barbecue', 'Grill', 'Argentinean', 'South American', 'Gluten Free Options']",271,4.5,$$ - $$$,310,"[['Amazing meat', 'The best steak I’ve ever had'], ['01/05/2018', '01/03/2018']]",/Restaurant_Review-g188590-d2228019-Reviews-Amigo_Argentijns_Restaurant-Amsterdam_North_Holland_Province.html,d2228019,52.37542,4.89824
271,271,Pulitzer's Bar,Amsterdam,"['Bar', 'European']",272,4.5,$$ - $$$,160,"[['Expensive but worth it', 'Best cocktail in Amsterdam'], ['01/05/2018', '12/06/2017']]",/Restaurant_Review-g188590-d696991-Reviews-Pulitzer_s_Bar-Amsterdam_North_Holland_Province.html,d696991,52.37294,4.88465
